state_name,cluster_id,cluster_label,it_act_share,fraud_motive_share,extortion_motive_share,sexual_exploitation_motive_share,std_it_act_share,std_fraud_motive_share,std_extortion_motive_share,std_sexual_exploitation_motive_share,PCA1,PCA2
Puducherry,1,"IT Act-Dominant, High Fraud Profile",1.0,0.8503401360544217,0.006802721088435374,0.1292517006802721,1.1024,1.3201,-0.7476,-0.1448,0.8896176183400673,-0.8772143457397872
Tamil Nadu,1,"IT Act-Dominant, High Fraud Profile",0.4639650570249939,0.8971123513710264,0.011890317884008735,0.04392137830623635,-0.5032,1.4907,-0.6407,-0.5471,0.42501060871356083,0.6996572214366954
Tripura,1,"IT Act-Dominant, High Fraud Profile",1.0,0.4722222222222222,0.027777777777777776,0.3055555555555556,1.1024,-0.0592,-0.3067,0.6865,0.8973319756996548,1.4206155942038639
Dadra and Nagar Haveli and Daman and Diu,2,Sexual Exploitation-Dominant Micro-Profile,1.0,0.0,0.0,0.8333333333333334,1.1024,-1.7817,-0.8906,3.1752,0.06735011493949476,1.057339581041333
Lakshadweep,2,Sexual Exploitation-Dominant Micro-Profile,1.0,0.0,0.0,1.0,1.1024,-1.7817,-0.8906,3.961,0.0989859835055215,-0.3556554292178025
Assam,3,Elevated Extortion Motive Profile,0.9317931793179318,0.15181518151815182,0.14521452145214522,0.06490649064906491,0.8981,-1.2279,2.1621,-0.4482,1.89361723116849,1.5430601856459423
Chandigarh,3,Elevated Extortion Motive Profile,0.7391304347826086,0.13043478260869565,0.13043478260869565,0.391304347826087,0.321,-1.3059,1.8514,1.0909,3.565388156398346,-1.1959900952395581
Kerala,3,Elevated Extortion Motive Profile,0.3305007587253414,0.5213960546282246,0.17905918057663125,0.15174506828528073,-0.9029,0.1202,2.8735,-0.0387,-0.11798005694538911,0.5707174656506615
Punjab,3,Elevated Extortion Motive Profile,0.42661448140900193,0.5420743639921722,0.10371819960861056,0.14481409001956946,-0.615,0.1956,1.2897,-0.0714,0.3936759811020353,-0.3595940652897308
Sikkim,3,Elevated Extortion Motive Profile,1.0,0.25,0.08333333333333333,0.0,1.1024,-0.8698,0.8612,-0.7542,-0.26580528825821925,1.0038637315465166
Uttar Pradesh,3,Elevated Extortion Motive Profile,0.9358903094311655,0.35306651843616826,0.09449694274596998,0.047619047619047616,0.9103,-0.4938,1.0959,-0.5297,4.101717332110618,-1.3502992926267365
Uttarakhand,3,Elevated Extortion Motive Profile,0.8441295546558705,0.3785425101214575,0.1417004048582996,0.20647773279352227,0.6355,-0.4009,2.0882,0.2194,-0.5731798546352459,-1.5555308371453764
